url,title,description,image_url,sentiment
https://www.wired.com/story/covid-19-rental-economy/,The Pandemic Is Transforming the Rental Economy,The spread of Covid-19 has made people think twice about what they rent. But this hasn’t destroyed the rental marketplace—just changed it.,"https://media.wired.com/photos/5ed94470d9fb171733fd7869/191:100/w_1280,c_limit/Culture_rentown_6520-000015.jpg",0.0
https://lifehacker.com/what-you-need-to-know-about-swimming-during-the-pandemi-1843584311,What You Need to Know About Swimming During the Pandemic,"It may feel like the 13th week of March, but according to the calendar it’s almost Memorial Day weekend—the unofficial start of summer. This is usually the time when we pack up and head to a newly-opened beach or a cookout on the deck surrounding a friend’s b…","https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/iyr9sucbgw0ehfkpmy1e.jpg",0.0 
https://lifehacker.com/how-to-cope-as-a-distance-caregiver-during-the-pandemic-1843886239,How to Cope as a 'Distance Caregiver' During the Pandemic,"The COVID-19 pandemic has meant dealing with challenges most people never thought they’d face: toilet paper shortages, universal homeschooling and a novel virus that has killed more than 100,000 Americans in less than three months. It has also changed the car…","https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/zxifprprfqnd64lwxqyd.jpg",0.09999999999999999
https://www.wired.com/story/16-health-workers-talk-about-their-battles-with-the-pandemic/,16 Health Workers Talk About Their Battles With the Pandemic,"WIRED’s video team reached out to doctors, physician assistants, and paramedics, and asked them about their experiences treating Covid-19 patients.","https://media.wired.com/photos/5ed5c2ec08380d2c263d22b6/191:100/w_1280,c_limit/Science_healthworker_1215356258.jpg",0.0
https://www.wired.com/story/opinion-the-pandemic-and-the-protests-are-mirror-images/,The Pandemic and the Protests Are Mirror Images,"The debate over Covid-19 and the uprisings against police brutality share perilous pasts and uncertain futures. Together, they can teach us where to go next.","https://media.wired.com/photos/5edfeb2bbe64fa7887c431d6/191:100/w_1280,c_limit/OpEd-Covid-and-Protests-1217487502.jpg",0.0
http://techcrunch.com/2020/05/26/spectrm-raises-3m-series-a-from-runa-capital-for-its-conversational-marketing-platform/,Spectrm raises $3M Series A from Runa Capital for its conversational marketing platform,"In the ‘Age of Corona’ – as some like to call it, the roboticization of industry and business has been super-charged by the pandemic. So while companies using messaging platforms to drive customers towards purchases was always on a long term trend, the sheer …",https://techcrunch.com/wp-content/uploads/2020/05/Spectrm-UnderstandIntent-1.0-woProfileCard-1x-v2.png?w=444,0.0
http://techcrunch.com/2020/06/17/how-d2c-brands-are-holding-up-during-the-pandemic/,How D2C brands are holding up during the pandemic,So what's up with digital natives and how has COVID-19 played out for the segment?,https://techcrunch.com/wp-content/uploads/2020/06/GettyImages-1086891678.jpg?w=600,0.0
https://www.wired.com/story/the-new-intimacy-brought-to-you-by-covid-19/,"The New Intimacy, Brought to You by Covid-19","Don’t touch, but keep in touch! The pandemic has us living in an alternate corporeality.","https://media.wired.com/photos/5ed162862294e5ecad1d3042/191:100/w_1280,c_limit/Covid-Intimacy.jpg",0.0
https://www.wired.com/story/covid-19-contact-tracing-scams/,Don't Be Fooled by Covid-19 Contact-Tracing Scams,Fraudsters have found yet another way to take advantage of the pandemic.,"https://media.wired.com/photos/5ec72738187855e5b10ea1a4/191:100/w_1280,c_limit/Security_contacttracing_1217862982.jpg",0.0
https://www.wired.com/story/a-triple-threat-imperils-millions-of-people-across-africa/,A Triple Threat Imperils Millions of People Across Africa,"A “perfect storm” of ravenous locusts, flooding, and the Covid-19 pandemic threatens to create huge food shortages.","https://media.wired.com/photos/5ed97b2fd9fb171733fd786c/191:100/w_1280,c_limit/science_locusts-1201746286.jpg",0.7000000000000001
https://vitals.lifehacker.com/how-to-protest-during-a-pandemic-1843885100,How to Protest During a Pandemic,"Avoiding large gatherings is part of how we’ve tried to stay safe for the past few months, but protests have something in common with hospital services and (apparently) takeout margaritas: They’re essential to our well-being as a society. Read more...","https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/cxoza2bhvt9jg7aiann7.jpg",0.002040816326530615
